,Unnamed: 0,keyword,location,polarity,date,quater
1751193,1751193,Газпром,Belarus,-0.0666666667,2018-11-15,4
1751194,1751194,Газпром,Belarus,0.33333333330000003,2018-11-15,4
1751197,1751197,Газпром,Belarus,0.6000000000000001,2018-11-15,4
1751198,1751198,Газпром,Belarus,0.1774193548,2018-11-15,4
1751199,1751199,ГАЗ,Belarus,0.1774193548,2018-11-15,4
1751201,1751201,Газпром,Belarus,0.0,2018-11-15,4
1751202,1751202,ГАЗ,Belarus,0.0,2018-11-15,4
1751203,1751203,Газпром,Belarus,0.0,2018-11-15,4
1751204,1751204,Газпром,Belarus,0.1968503937,2018-11-15,4
1751205,1751205,ГАЗ,Belarus,0.1968503937,2018-11-15,4
1751207,1751207,Газпром,Belarus,-0.42857142859999997,2018-11-15,4
1751208,1751208,ГАЗ,Belarus,-0.42857142859999997,2018-11-15,4
1751209,1751209,Газпром,Belarus,-0.25,2018-11-15,4
1751210,1751210,Газпром,Belarus,0.14285714289999998,2018-11-15,4
1751211,1751211,Газпром,Belarus,0.0,2018-11-15,4
1751213,1751213,Газпром,Belarus,0.0,2018-11-14,4
1751214,1751214,Газпром,Belarus,0.0,2018-11-14,4
1751215,1751215,Газпром,Belarus,0.0,2018-11-14,4
1751216,1751216,Газпром,Belarus,-0.33333333330000003,2018-11-14,4
1751217,1751217,Газпром,Belarus,0.0,2018-11-14,4
1751218,1751218,Газпром,Belarus,-0.33333333330000003,2018-11-14,4
1751219,1751219,Газпром,Belarus,0.27058823530000004,2018-11-13,4
1751220,1751220,ГАЗ,Belarus,0.27058823530000004,2018-11-13,4
1751222,1751222,Газпром,Belarus,-0.6842105262999999,2018-11-12,4
1751224,1751224,Газпром,Belarus,0.0638297872,2018-11-12,4
1751225,1751225,Газпром,Belarus,-0.5,2018-11-12,4
1751226,1751226,Газпром,Belarus,0.5238095238,2018-11-12,4
1751227,1751227,Газпром,Belarus,-0.4,2018-11-12,4
1751228,1751228,ГАЗ,Belarus,-0.4,2018-11-12,4
1751229,1751229,Газпром,Belarus,0.6470588235,2018-11-12,4
1751230,1751230,Газпром,Belarus,0.4117647059,2018-11-12,4
1751231,1751231,Газпром,Belarus,0.21052631579999997,2018-11-12,4
1751232,1751232,Газпром,Belarus,0.2252252252,2018-11-12,4
1751233,1751233,Газпром,Belarus,0.33333333330000003,2018-11-11,4
1751234,1751234,Газпром,Belarus,0.0,2018-11-11,4
1751235,1751235,Газпром,Belarus,-0.625,2018-11-11,4
1751236,1751236,ГАЗ,Belarus,-0.625,2018-11-11,4
1751237,1751237,Газпром,Belarus,0.0,2018-11-11,4
1751238,1751238,Газпром,Belarus,0.6000000000000001,2018-11-10,4
1751239,1751239,Газпром,Belarus,-0.2,2018-11-10,4
1751240,1751240,Газпром,Belarus,-0.11111111109999999,2018-11-10,4
1751241,1751241,Газпром,Belarus,0.2,2018-11-10,4
1751242,1751242,Газпром,Belarus,0.1666666667,2018-11-09,4
1751496,1751496,ГАЗ,Belarus,1.0,2018-12-05,4
1751558,1751558,ГАЗ,Belarus,0.7142857143000001,2018-12-05,4
1752946,1752946,ГАЗ,Belarus,-0.014084507,2018-12-12,4
1752949,1752949,ГАЗ,Belarus,-0.15789473680000002,2018-12-12,4
1752951,1752951,ГАЗ,Belarus,0.2,2018-12-12,4
1752954,1752954,ГАЗ,Belarus,0.4339622642,2018-12-11,4
1752956,1752956,ГАЗ,Belarus,0.2380952381,2018-12-11,4
1752962,1752962,ГАЗ,Belarus,0.42857142859999997,2018-12-11,4
1754239,1754239,ГАЗ,Belarus,0.5555555556,2018-12-11,4
1755149,1755149,ГАЗ,Belarus,0.0,2018-12-20,4
1755150,1755150,ГАЗ,Belarus,0.0,2018-12-13,4
1755152,1755152,ГАЗ,Belarus,0.6774193548,2018-12-13,4
1755156,1755156,ГАЗ,Belarus,0.2857142857,2018-12-13,4
1755158,1755158,ГАЗ,Belarus,0.0,2018-12-12,4
1755159,1755159,ГАЗ,Belarus,0.33333333330000003,2018-12-12,4
1755163,1755163,ГАЗ,Belarus,-1.0,2018-12-12,4
1755164,1755164,ГАЗ,Belarus,-0.7142857143000001,2018-12-12,4
1755165,1755165,ГАЗ,Belarus,-1.0,2018-12-12,4
1755167,1755167,ГАЗ,Belarus,-0.33333333330000003,2018-12-12,4
1755169,1755169,ГАЗ,Belarus,0.4722222222,2018-12-12,4
1755171,1755171,ГАЗ,Belarus,-0.23076923079999997,2018-12-12,4
1755173,1755173,ГАЗ,Belarus,-0.6000000000000001,2018-12-12,4
1755174,1755174,ГАЗ,Belarus,0.5,2018-12-12,4
1755176,1755176,ГАЗ,Belarus,0.0,2018-12-12,4
1755177,1755177,Газпром,Belarus,0.0,2018-12-12,4
1755178,1755178,ГАЗ,Belarus,-0.0714285714,2018-12-12,4
1755179,1755179,ГАЗ,Belarus,0.0,2018-12-12,4
1755180,1755180,ГАЗ,Belarus,0.28888888890000003,2018-12-12,4
1755182,1755182,ГАЗ,Belarus,0.0,2018-12-12,4
1755183,1755183,ГАЗ,Belarus,1.0,2018-12-12,4
1755185,1755185,ГАЗ,Belarus,-1.0,2018-12-12,4
1755186,1755186,ГАЗ,Belarus,0.6666666667000001,2018-12-12,4
1755187,1755187,ГАЗ,Belarus,0.0,2018-12-12,4
1755189,1755189,ГАЗ,Belarus,0.0,2018-12-12,4
1755190,1755190,ГАЗ,Belarus,0.0,2018-12-12,4
1755192,1755192,ГАЗ,Belarus,0.11111111109999999,2018-12-12,4
1755193,1755193,ГАЗ,Belarus,0.5820895522,2018-12-11,4
1755195,1755195,ГАЗ,Belarus,0.0,2018-12-11,4
1755196,1755196,ГАЗ,Belarus,0.05882352940000001,2018-12-11,4
1755200,1755200,ГАЗ,Belarus,0.0,2018-12-11,4
1755201,1755201,ГАЗ,Belarus,0.0,2018-12-11,4
1755202,1755202,ГАЗ,Belarus,-0.05882352940000001,2018-12-11,4
1755203,1755203,ГАЗ,Belarus,-0.33333333330000003,2018-12-11,4
1755205,1755205,ГАЗ,Belarus,0.33333333330000003,2018-12-11,4
1755206,1755206,ГАЗ,Belarus,0.6000000000000001,2018-12-11,4
1755207,1755207,ГАЗ,Belarus,-0.2,2018-12-11,4
1755208,1755208,ГАЗ,Belarus,0.33333333330000003,2018-12-11,4
1755209,1755209,ГАЗ,Belarus,0.0,2018-12-11,4
1755210,1755210,ГАЗ,Belarus,0.0,2018-12-11,4
1755211,1755211,Газпром,Belarus,0.0,2018-12-11,4
